sku_id,actual_records,expected_records,completeness_ratio
845321,844,851,99.17743830787309
845323,843,851,99.05992949471211
100002323621,843,851,99.05992949471211
1071847,843,851,99.05992949471211
206942,842,851,98.94242068155111
5950572,839,851,98.58989424206815
4961950,839,851,98.58989424206815
1742027,838,851,98.47238542890717
411166,838,851,98.47238542890717
411164,837,851,98.35487661574618
4131809,837,851,98.35487661574618
8209934,837,851,98.35487661574618
4510086,837,851,98.35487661574618
2795972,837,851,98.35487661574618
8209940,837,851,98.35487661574618
231028,836,851,98.2373678025852
1039868,836,851,98.2373678025852
1032832,836,851,98.2373678025852
4486466,835,851,98.1198589894242
231035,835,851,98.1198589894242
4713934,835,851,98.1198589894242
1039867,835,851,98.1198589894242
290461,835,851,98.1198589894242
1032854,834,851,98.00235017626322
8209936,834,851,98.00235017626322
3919595,834,851,98.00235017626322
34294684846,834,851,98.00235017626322
8526452,834,851,98.00235017626322
8209916,833,851,97.88484136310224
8421845,833,851,97.88484136310224
1038234,833,851,97.88484136310224
231023,832,851,97.76733254994124
1529386,831,851,97.64982373678026
528625,830,851,97.53231492361927
8421837,830,851,97.53231492361927
1540110,830,851,97.53231492361927
528619,828,851,97.29729729729729
1540172,828,851,97.29729729729729
8755672,828,851,97.29729729729729
100037438244,827,851,97.17978848413631
6380571,826,851,97.06227967097533
3895219,826,851,97.06227967097533
293418,826,851,97.06227967097533
6380589,826,851,97.06227967097533
100001202539,825,851,96.94477085781433
6380569,825,851,96.94477085781433
5851301,824,851,96.82726204465335
100024851705,819,851,96.23971797884842
909718,817,851,96.00470035252644
909717,816,851,95.88719153936545
6930866,816,851,95.88719153936545
4486444,815,851,95.76968272620446
1184675,813,851,95.53466509988249
100007147103,812,851,95.41715628672151
362424,810,851,95.18213866039953
100033194540,810,851,95.18213866039953
5840837,809,851,95.06462984723855
879388,806,851,94.71210340775558
3674839,806,851,94.71210340775558
100033194536,804,851,94.4770857814336
2461301,803,851,94.35957696827262
100041650013,803,851,94.35957696827262
100009388168,802,851,94.24206815511164
2646498,802,851,94.24206815511164
100034533525,801,851,94.12455934195064
100035921329,801,851,94.12455934195064
5915642,801,851,94.12455934195064
100018704177,800,851,94.00705052878966
100033194590,800,851,94.00705052878966
100034243272,799,851,93.88954171562867
100017084069,799,851,93.88954171562867
1184678,799,851,93.88954171562867
100033194582,798,851,93.77203290246769
100015344592,798,851,93.77203290246769
8545329,798,851,93.77203290246769
100035921331,797,851,93.6545240893067
10056315631534,796,851,93.53701527614571
100005873819,795,851,93.41950646298473
100002727342,795,851,93.41950646298473
100010234342,795,851,93.41950646298473
2461038,795,851,93.41950646298473
100011698820,794,851,93.30199764982373
69487371426,794,851,93.30199764982373
100007310036,793,851,93.18448883666275
100000318251,793,851,93.18448883666275
10061685991750,792,851,93.06698002350176
5840803,791,851,92.94947121034077
100019498134,791,851,92.94947121034077
3907301,791,851,92.94947121034077
100006043908,790,851,92.8319623971798
100008959723,789,851,92.7144535840188
100019787561,789,851,92.7144535840188
100012797340,788,851,92.59694477085782
4486428,788,851,92.59694477085782
100030771720,788,851,92.59694477085782
8209962,786,851,92.36192714453584
100025429436,786,851,92.36192714453584
100041192960,785,851,92.24441833137486
100039034588,785,851,92.24441833137486
10700890033,784,851,92.12690951821386
100008366733,784,851,92.12690951821386
100024851621,784,851,92.12690951821386
4486478,784,851,92.12690951821386
100024851809,784,851,92.12690951821386
100011433086,784,851,92.12690951821386
3674837,783,851,92.00940070505288
100000671427,783,851,92.00940070505288
100048469601,783,851,92.00940070505288
1039780,783,851,92.00940070505288
100003034205,782,851,91.89189189189189
100039735595,782,851,91.89189189189189
10025765269372,782,851,91.89189189189189
1280273,782,851,91.89189189189189
3334330,781,851,91.7743830787309
100035733016,781,851,91.7743830787309
100045910485,781,851,91.7743830787309
69306580356,780,851,91.65687426556991
100023527729,780,851,91.65687426556991
7648521,780,851,91.65687426556991
100010577141,779,851,91.53936545240893
100041006407,779,851,91.53936545240893
66148160288,779,851,91.53936545240893
879386,778,851,91.42185663924795
100015189638,778,851,91.42185663924795
100018842722,778,851,91.42185663924795
100036378791,777,851,91.30434782608695
100014962868,777,851,91.30434782608695
100005270502,777,851,91.30434782608695
100012808554,777,851,91.30434782608695
100033331842,777,851,91.30434782608695
100008366749,776,851,91.18683901292597
100030771718,775,851,91.06933019976498
100015645334,775,851,91.06933019976498
10043211463452,775,851,91.06933019976498
1032834,775,851,91.06933019976498
100014256784,775,851,91.06933019976498
100028415103,775,851,91.06933019976498
100023527711,774,851,90.951821386604
100037338174,774,851,90.951821386604
4535404,774,851,90.951821386604
100026719206,773,851,90.83431257344301
100029374348,773,851,90.83431257344301
6864556,773,851,90.83431257344301
845278,773,851,90.83431257344301
100033331822,773,851,90.83431257344301
100008817605,773,851,90.83431257344301
100006938017,772,851,90.71680376028202
100020638562,772,851,90.71680376028202
7434016,771,851,90.59929494712104
100035494430,771,851,90.59929494712104
231478,771,851,90.59929494712104
8307755,770,851,90.48178613396004
10037621290748,770,851,90.48178613396004
100009897581,770,851,90.48178613396004
100024848970,770,851,90.48178613396004
100007178233,770,851,90.48178613396004
100032140543,769,851,90.36427732079906
100011423920,769,851,90.36427732079906
