ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,residual,yhat_original
2023-05-10 17:15:39.185076,-0.600132774534615,96.21917785476776,117.27839709125719,-0.600132774534615,-0.600132774534615,1.3414219162781602,1.3414219162781602,1.3414219162781602,0.024197687089243507,0.024197687089243507,0.024197687089243507,1.3172242291889167,1.3172242291889167,1.3172242291889167,0.0,0.0,0.0,102.46354816813624,-0.20443000187707405,-1.4051640309721674
2023-05-11 17:15:39.185076,-0.6030746083951551,96.02687914493688,116.83028726613661,-0.6030746083951551,-0.6030746083951551,1.341917141028639,1.341917141028639,1.341917141028639,-0.02086781241150488,-0.02086781241150488,-0.02086781241150488,1.362784953440144,1.362784953440144,1.362784953440144,0.0,0.0,0.0,107.58421808016112,0.04591650102957276,-1.4123507627197478
2023-05-12 17:15:39.185076,-0.6060164422556952,95.02121827628322,116.11761187267525,-0.6060164422556952,-0.6060164422556952,1.4029271929906917,1.4029271929906917,1.4029271929906917,0.0011054477714630227,0.0011054477714630227,0.0011054477714630227,1.4018217452192288,1.4018217452192288,1.4018217452192288,0.0,0.0,0.0,106.49331836738496,0.037976739798834425,-1.4562133884956834
2023-05-13 17:15:39.185076,-0.6089582761162353,94.8219154168449,115.48256622777016,-0.6089582761162353,-0.6089582761162353,1.4239368512287298,1.4239368512287298,1.4239368512287298,-0.009946262067118721,-0.009946262067118721,-0.009946262067118721,1.4338831132958485,1.4338831132958485,1.4338831132958485,0.0,0.0,0.0,105.36334062794819,0.004181714210811439,-1.4760764063388627
2023-05-14 17:15:39.185076,-0.6119001099767754,94.4508090196881,115.55988456505055,-0.6119001099767754,-0.6119001099767754,1.449576863681757,1.449576863681757,1.449576863681757,-0.009035996848527093,-0.009035996848527093,-0.009035996848527093,1.4586128605302842,1.4586128605302842,1.4586128605302842,0.0,0.0,0.0,102.96032896396281,-0.08710758264800919,-1.4988963522834313
2023-05-15 17:15:39.185076,-0.6148419438373155,93.29265478221583,114.26167434651585,-0.6148419438373155,-0.6148419438373155,1.4701388006734295,1.4701388006734295,1.4701388006734295,-0.005617552629469849,-0.005617552629469849,-0.005617552629469849,1.4757563533028992,1.4757563533028992,1.4757563533028992,0.0,0.0,0.0,96.33459534180047,-0.3818881137818392,-1.5187449417540264
2023-05-16 17:15:39.185076,-0.6177837776978555,92.86889668568156,113.27756559935122,-0.6177837776978555,-0.6177837776978555,1.5053294065735676,1.5053294065735676,1.5053294065735676,0.020164489095873973,0.020164489095873973,0.020164489095873973,1.4851649174776937,1.4851649174776937,1.4851649174776937,0.0,0.0,0.0,95.5312875448501,-0.3910270078916658,-1.547751865170545
2023-05-17 17:15:39.185076,-0.6207256115583957,93.21939388418734,113.37223621527797,-0.6207256115583957,-0.6207256115583957,1.5109959471099705,1.5109959471099705,1.5109959471099705,0.024197687089234015,0.024197687089234015,0.024197687089234015,1.4867982600207366,1.4867982600207366,1.4867982600207366,0.0,0.0,0.0,100.32946954274495,-0.15229324541322353,-1.5586394948904894
2023-05-18 17:15:39.185076,-0.6236674454189357,94.19077424157703,114.75409597153258,-0.6236674454189357,-0.6236674454189357,1.4598570455330988,1.4598570455330988,1.4598570455330988,-0.02086781241154267,-0.02086781241154267,-0.02086781241154267,1.4807248579446415,1.4807248579446415,1.4807248579446415,0.0,0.0,0.0,106.24081317305811,0.10390566709466606,-1.5341327596833982
2023-05-19 17:15:39.185076,-0.6266092792794759,94.31487067204097,114.30231139124542,-0.6266092792794759,-0.6266092792794759,1.4682257482229226,1.4682257482229226,1.4682257482229226,0.0011054477714708341,0.0011054477714708341,0.0011054477714708341,1.467120300451452,1.467120300451452,1.467120300451452,0.0,0.0,0.0,105.41407423157509,0.0771275973972389,-1.5466131571930106
