ds,y
2023-05-10 17:15:39.185076,98.59085057519495
2023-05-11 17:15:39.185076,103.88031098225893
2023-05-12 17:15:39.185076,107.08959786511326
2023-05-13 17:15:39.185076,102.8121579953346
2023-05-14 17:15:39.185076,99.32201310937653
2023-05-15 17:15:39.185076,80.69358874881573
2023-05-16 17:15:39.185076,89.78873372082744
2023-05-17 17:15:39.185076,102.93734234772822
2023-05-18 17:15:39.185076,103.23608107190847
2023-05-19 17:15:39.185076,111.220900204018
2023-05-20 17:15:39.185076,102.96264776103811
2023-05-21 17:15:39.185076,101.12889809732474
2023-05-22 17:15:39.185076,94.06640060931596
2023-05-23 17:15:39.185076,100.90576206245086
2023-05-24 17:15:39.185076,111.60218548792189
2023-05-25 17:15:39.185076,113.76842286606208
2023-05-26 17:15:39.185076,108.5892059895767
2023-05-27 17:15:39.185076,111.38823228089446
2023-05-28 17:15:39.185076,101.79485546137256
2023-05-29 17:15:39.185076,100.64771307070306
2023-05-30 17:15:39.185076,106.5785189590013
2023-05-31 17:15:39.185076,113.16036010161491
2023-06-01 17:15:39.185076,112.42640072139031
2023-06-02 17:15:39.185076,111.70123849687533
2023-06-03 17:15:39.185076,110.62071702741021
2023-06-04 17:15:39.185076,112.93641884634741
2023-06-05 17:15:39.185076,109.19316283352099
2023-06-06 17:15:39.185076,111.59613957906467
2023-06-07 17:15:39.185076,113.7578044400117
2023-06-08 17:15:39.185076,116.67544479538931
2023-06-09 17:15:39.185076,116.08483568887198
2023-06-10 17:15:39.185076,111.8490635619494
2023-06-11 17:15:39.185076,105.06348248973052
2023-06-12 17:15:39.185076,112.8492485142971
2023-06-13 17:15:39.185076,113.19656452487592
2023-06-14 17:15:39.185076,114.16947396421705
2023-06-15 17:15:39.185076,115.38214881722608
2023-06-16 17:15:39.185076,129.95413339257894
2023-06-17 17:15:39.185076,123.72953369411476
2023-06-18 17:15:39.185076,118.00501522529731
2023-06-19 17:15:39.185076,116.47328168385381
2023-06-20 17:15:39.185076,119.5907085562903
2023-06-21 17:15:39.185076,111.07969523696363
2023-06-22 17:15:39.185076,118.02932719160516
2023-06-23 17:15:39.185076,123.89512824117341
2023-06-24 17:15:39.185076,117.3517326827574
2023-06-25 17:15:39.185076,115.894812600427
2023-06-26 17:15:39.185076,115.72920278414811
2023-06-27 17:15:39.185076,114.76913912180285
2023-06-28 17:15:39.185076,117.96989460298065
2023-06-29 17:15:39.185076,124.08516679973238
2023-06-30 17:15:39.185076,111.23438853448646
2023-07-01 17:15:39.185076,126.97565625801764
2023-07-02 17:15:39.185076,119.67066080134238
2023-07-03 17:15:39.185076,119.12518918456034
2023-07-04 17:15:39.185076,109.47832530347922
2023-07-05 17:15:39.185076,126.42981412257556
2023-07-06 17:15:39.185076,132.6264238817043
2023-07-07 17:15:39.185076,126.2693002472407
2023-07-08 17:15:39.185076,134.85307641574127
2023-07-09 17:15:39.185076,126.58143931939401
2023-07-10 17:15:39.185076,119.97337449092838
2023-07-11 17:15:39.185076,126.7865441393366
2023-07-12 17:15:39.185076,119.85747737304837
2023-07-13 17:15:39.185076,132.15901154082314
2023-07-14 17:15:39.185076,114.87939836564807
2023-07-15 17:15:39.185076,120.95569197978884
2023-07-16 17:15:39.185076,121.49932122654978
2023-07-17 17:15:39.185076,116.62253371045675
2023-07-18 17:15:39.185076,126.16636231873187
2023-07-19 17:15:39.185076,129.82704882929633
2023-07-20 17:15:39.185076,130.195989729401
2023-07-21 17:15:39.185076,134.67358489476038
2023-07-22 17:15:39.185076,120.87018061095091
2023-07-23 17:15:39.185076,127.62368288259304
2023-07-24 17:15:39.185076,115.10866386298828
2023-07-25 17:15:39.185076,117.74661015718122
2023-07-26 17:15:39.185076,122.77139994343646
2023-07-27 17:15:39.185076,126.15877815683925
2023-07-28 17:15:39.185076,132.3898201494775
2023-07-29 17:15:39.185076,141.7539661575392
2023-07-30 17:15:39.185076,115.65270681854587
2023-07-31 17:15:39.185076,119.51320046141194
2023-08-01 17:15:39.185076,123.38528641667564
2023-08-02 17:15:39.185076,130.10356056015263
2023-08-03 17:15:39.185076,138.7791373438752
2023-08-04 17:15:39.185076,141.93603395180452
2023-08-05 17:15:39.185076,133.29477428683813
2023-08-06 17:15:39.185076,130.52805933998255
2023-08-07 17:15:39.185076,118.74674133646042
2023-08-08 17:15:39.185076,129.0335268763262
2023-08-09 17:15:39.185076,131.84180564113018
2023-08-10 17:15:39.185076,131.79407760081347
2023-08-11 17:15:39.185076,133.18077922140978
2023-08-12 17:15:39.185076,129.83426348578746
2023-08-13 17:15:39.185076,125.35486991357067
2023-08-14 17:15:39.185076,128.47011339398134
2023-08-15 17:15:39.185076,127.7857466986917
2023-08-16 17:15:39.185076,131.8319722385413
2023-08-17 17:15:39.185076,135.06526722465665
2023-08-18 17:15:39.185076,133.4509584753419
2023-08-19 17:15:39.185076,128.63606235616294
2023-08-20 17:15:39.185076,130.42263150593843
2023-08-21 17:15:39.185076,124.4750631840283
2023-08-22 17:15:39.185076,123.01997546058921
2023-08-23 17:15:39.185076,136.6675304899868
2023-08-24 17:15:39.185076,137.57314213105903
2023-08-25 17:15:39.185076,128.67168502642474
2023-08-26 17:15:39.185076,136.9064600503972
2023-08-27 17:15:39.185076,130.212540689789
2023-08-28 17:15:39.185076,124.07628313607444
2023-08-29 17:15:39.185076,121.87802480697874
2023-08-30 17:15:39.185076,129.9819354132622
2023-08-31 17:15:39.185076,135.9801412004123
2023-09-01 17:15:39.185076,137.95787239227377
2023-09-02 17:15:39.185076,132.72978452081725
2023-09-03 17:15:39.185076,129.2191754958543
2023-09-04 17:15:39.185076,129.918957966213
2023-09-05 17:15:39.185076,125.884404086721
2023-09-06 17:15:39.185076,131.01816296270104
2023-09-07 17:15:39.185076,132.1553297780494
2023-09-08 17:15:39.185076,131.88691343116665
2023-09-09 17:15:39.185076,124.21361184645976
2023-09-10 17:15:39.185076,125.22005428195271
